,Year?,NYC College?,Student?,Alum?,Occupation?,Verified,Link?,Parent?,Views My Own?,Consecutive Upper,Name Emojis,Name Title,Emojis,Tweet Count,Followers,Friends,Liked Posts,Last Tweet Time,Account_Age,Tweet_Rate,Output
0,0,0,0,0,1,0,1,0,1,1,0,0,0,1515,288,613,1115,50.630641271833106,8.252562532664037,183.5793420532783,0
1,0,1,0,0,1,0,1,0,0,1,0,0,0,1824,304,605,800,50.623344645980694,11.342149890384526,160.8160725812946,0
2,0,0,0,0,0,0,1,0,0,1,0,0,0,330,314,481,100,50.62797107511345,7.694215034755449,42.88936538806894,0
3,1,0,0,0,0,0,0,0,0,1,0,0,0,1578,229,213,9327,50.62056278043957,4.760941126862461,331.44707274293233,1
4,0,0,0,0,0,0,0,0,0,1,0,0,4,10,39,45,21,49.875499752832916,2.712474545119869,3.68667054147713,1
5,0,1,0,0,0,0,1,0,0,4,0,0,0,6152,3337,783,264,50.630476620528825,9.37439882566477,656.2554158840944,0
6,0,1,0,0,0,0,1,0,0,1,0,0,0,9,44,0,0,42.86858414454839,8.397517535579338,1.0717453059035615,0
7,0,0,0,0,0,0,1,0,0,1,0,1,0,699,4,94,20,50.63024029076989,0.5061136582249149,1381.1126979888122,0
8,0,0,0,0,1,0,0,0,0,1,0,0,0,27,391,2002,108,50.6298351268791,0.9052050023068478,29.82749756264328,0
9,0,1,0,0,0,0,1,0,0,1,0,0,1,18,7,41,112,50.40292636322154,3.238784720798628,5.5576401495316174,1
10,0,0,0,0,0,0,1,0,0,0,0,0,3,92,113,911,160,50.62400283925268,1.3346506825867168,68.93189446521896,0
11,0,0,0,0,0,0,1,0,0,1,0,0,0,16462,5225,5171,325,50.61137966765534,11.043946319770786,1490.5903671887515,0
12,0,0,0,0,1,0,1,0,0,1,0,0,1,2494,1205,4002,8149,50.62985483686972,7.897309946916071,315.80373782517125,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,63,3,50.29099167870815,0.3397362506995078,2.9434598101940166,1
14,0,0,0,0,0,0,0,0,0,4,0,0,0,9,1,67,33,50.545299705934546,1.1308621918357158,7.95852939905118,1
15,0,0,0,0,0,0,1,0,0,1,0,0,0,41,4,88,31,49.64230432605775,1.3394962665347991,30.608521295893325,0
16,0,0,0,0,0,0,1,0,0,0,0,0,0,10142,530,388,10550,50.62908304180292,5.861123491807832,1730.3849704200238,1
17,0,1,1,0,0,0,0,0,0,1,0,0,0,2994,1121,637,1553,49.12196542195858,8.569270488909124,349.3879676076298,0
18,0,0,0,0,0,0,1,0,0,1,0,0,0,2462,406,443,155,50.61706482749004,11.321625389155026,217.45994195836482,0
19,0,1,0,0,0,0,0,0,0,4,0,0,0,30,27,68,38,50.24952344284737,0.4191848043196751,71.5674797627484,0
20,0,0,0,0,1,0,0,0,0,1,0,0,0,5680,565,2565,7292,50.62245009126169,11.495907622277947,494.0888694158184,0
21,0,0,0,0,0,0,1,0,1,1,0,0,0,9810,586,529,3017,50.58146066240779,8.382781719167445,1170.255928001702,0
22,0,0,1,0,1,0,0,0,0,1,0,0,0,51,19,513,453,49.874877715669136,2.2603135759713915,22.56324102202601,1
23,0,1,0,0,0,0,1,0,0,1,0,0,0,33,6,60,43,50.61084429741172,1.3091635733008395,25.206934162394965,0
24,0,0,0,0,0,0,0,1,0,1,0,0,4,32264,2032,4982,34831,50.63070179608082,11.325823775597591,2848.711108282949,0
25,0,0,0,0,0,0,1,0,0,1,0,0,0,1643,1093,1369,4221,50.56129879965522,3.5128269380687565,467.7144729775019,0
26,0,0,1,0,0,0,0,0,0,1,0,0,0,447,20,112,930,50.546705547950424,3.4507563536224173,129.5368186544853,1
27,0,0,0,0,0,0,0,0,0,0,1,0,3,11536,284,804,22674,50.630480042842294,1.9990740227646768,5770.671755338984,0
28,0,0,0,0,1,0,1,0,0,1,0,0,0,96,109,1488,94,50.629702829112475,5.534378228407692,17.346122010099833,0
29,0,0,0,0,0,0,0,0,0,1,0,0,0,775,77,226,59,47.8874599779451,11.400175754201795,67.98140806858666,0
30,0,0,0,0,1,0,0,0,1,1,0,0,8,500,42,431,998,50.62981231145587,0.3832214864501286,1304.7285125675453,0
31,0,0,0,0,1,0,0,0,0,1,0,1,0,55,21,183,73,50.57632145663802,1.5117100280375748,36.38263885263644,0
32,0,1,0,0,0,0,0,0,0,1,0,0,0,249,175,260,65,50.58925377722008,8.438063553020465,29.50914015228869,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,79,58,50.25808828935027,7.3968166584530675,2.0278993914034658,0
34,0,0,0,0,0,0,0,0,0,1,1,0,0,186,8,70,1001,50.62483430298882,0.4760663479098087,390.70184401111646,0
35,0,1,0,1,0,0,0,0,0,1,0,0,0,46,54,196,628,50.595996368545144,0.5480619686160728,83.93211467702444,0
36,0,1,1,0,0,0,1,1,0,1,0,0,0,76794,12423,3152,14888,50.630689247598035,10.706722871988834,7172.502820719323,1
37,0,0,0,1,1,0,0,1,0,0,0,0,0,168,113,137,703,50.594606940958755,1.6670178461226004,100.77876514085293,0
38,0,0,0,0,0,0,0,0,0,1,0,0,0,671,178,556,1745,50.597401830303966,11.466620731006115,58.517676283265764,0
39,0,0,0,0,0,0,1,0,0,1,0,0,8,6546,1850,755,681,50.5828201130631,10.484056245747412,624.376657904255,0
40,0,0,0,0,1,0,1,0,0,3,0,0,0,3871,4734,1295,6530,50.6248320214465,7.450992863234168,519.5280778083793,0
41,0,1,0,0,1,0,0,0,0,0,0,0,1,1951,275,485,2171,50.62794344310086,4.916099620402012,396.8593296814554,0
42,0,0,0,0,0,1,1,0,0,1,0,0,0,13184,47801,11037,11631,50.6305585659239,10.365408027885472,1271.9229155795724,0
43,0,0,0,0,0,0,1,0,0,1,0,0,0,1951,564,668,5282,50.61898189342661,3.844078722877366,507.5338307691158,1
44,0,1,0,0,0,0,0,0,0,1,0,0,0,20,3,26,3,50.520919461556005,0.4183106250411495,47.81136027331983,0
45,0,0,0,0,1,0,1,0,0,1,0,0,0,3885,275,1261,8613,50.62790915658986,8.423215529089621,461.225287015764,0
46,0,0,0,0,1,0,0,0,0,1,0,0,13,12803,333,2041,24657,50.63051185768246,8.252099791517688,1551.4839039101505,0
47,0,0,0,0,0,0,0,0,0,1,0,0,0,232,96,223,1164,50.60279187897686,13.016099652090096,17.824079885770225,0
48,0,0,0,0,1,0,1,0,0,1,0,0,0,10854,317,415,0,48.689550346033926,9.216266616624793,1177.700304418383,0
49,0,0,0,0,0,0,1,0,0,1,0,0,0,965,81,979,294,50.62273740715389,3.522830455446503,273.927460377224,0
50,0,0,0,0,0,0,1,0,0,1,0,0,0,801,92,300,34,50.630496964281186,5.686554693031111,140.85857663193286,0
51,0,0,0,0,0,0,0,0,0,1,0,0,0,108,25,271,755,49.773314605673434,3.240914688721531,33.32392561144632,0
52,0,0,0,0,0,0,1,0,0,1,0,0,0,11266,718,5000,3264,50.63017209800489,5.733158902476696,1965.0597849526105,0
53,0,0,0,0,0,0,0,0,0,1,0,0,0,667,20,155,108,50.42318877227672,10.54267686328487,63.266664496077254,0
54,0,0,0,0,0,0,0,0,0,1,0,0,0,320775,163702,13845,384,50.63067156564504,11.976848061348093,26782.923049279638,0
55,0,0,0,0,0,0,1,0,0,4,0,0,1,75,72,255,0,42.28298146880625,8.388882499961928,8.940404159951026,0
56,0,1,1,0,1,0,0,0,0,1,0,0,0,284,292,495,1436,50.61965963824878,7.761059893815588,36.592940124879824,1
57,0,0,0,0,1,0,1,0,0,1,0,0,0,17622,3284,1828,23905,50.630010805637944,11.002966777600276,1601.5680457996725,0
58,0,0,0,0,0,0,1,0,0,1,0,0,0,30924,25136,128,144,50.63070271503536,9.029171622075143,3424.898904833625,0
59,0,0,0,0,0,0,1,0,0,1,0,0,4,174,6,195,76,50.282787442644555,1.9459249556619824,89.4176311854776,0
60,0,0,0,0,0,0,0,0,0,0,1,0,0,5188,541,446,39686,50.62893470986386,1.878952509223604,2761.1128937706458,1
61,0,0,0,0,0,0,0,0,0,1,0,0,0,1128,278,4658,3458,50.6004560866479,11.539287442036107,97.75300300526743,0
62,0,0,0,0,1,0,1,0,0,1,0,0,0,38879,605,223,19947,50.63057941668568,9.125484491241368,4260.486118552503,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,525,74,191,5806,50.62865544274597,0.6397303884032621,820.6582171442192,1
64,0,1,0,0,0,0,1,0,0,1,0,0,0,133,64,33,0,44.69141686947044,8.438500975384647,15.761093159551068,0
65,0,0,0,0,0,0,0,0,0,0,0,0,1,3663,182,142,4183,50.630712760159206,1.2973134745695107,2823.52729066928,1
66,0,0,0,0,1,0,1,0,0,1,0,0,0,6596,79,375,84,50.63070686617487,11.222361344994505,587.7550897915087,0
67,0,0,0,0,0,0,1,0,0,1,0,0,1,804,546,911,124,50.58691300986133,3.0035845368722143,267.6801635279579,0
68,0,1,1,0,0,0,0,0,0,1,0,0,2,736,389,1206,7134,50.6306984688316,0.8735685446635607,842.5211787856407,1
69,0,1,0,0,0,0,0,0,0,1,0,0,0,159,51,90,54,50.62741000583061,5.4230190946332595,29.319461581344967,0
70,0,0,0,0,0,0,1,0,0,0,0,0,2,27872,562,427,31631,50.63057349101326,3.3811192353283706,8243.424162263567,0
71,1,0,0,0,0,0,0,0,0,1,0,0,0,11644,931,976,12042,50.63056423809162,7.542900718212879,1543.703203183455,1
72,0,1,0,0,0,0,0,0,1,1,0,0,2,39339,876,871,34023,50.6306443772657,7.391434890646777,5322.241294417691,1
73,0,0,0,0,0,0,1,0,0,4,0,0,0,271,117,62,0,42.764994581336985,9.013927053413397,30.064587653544155,0
74,0,0,0,0,0,0,1,0,0,1,0,0,0,220,382,247,1634,50.619180007351645,6.340620665230397,34.69691874273414,1
75,0,0,0,0,1,0,0,1,0,1,0,0,0,2094,1283,2791,2600,50.61845698025198,10.182575176211074,205.64542502883592,0
76,0,1,1,0,0,0,0,0,0,1,0,1,0,98,18,73,176,50.61970156158896,0.4733851340112933,207.01959769962292,1
77,0,1,0,0,0,0,0,0,0,1,0,0,0,476,713,419,1426,50.61687891347885,9.08152252962198,52.41411871714132,0
78,0,0,0,0,1,0,0,0,0,1,0,0,0,12132,4542,2945,1353,50.62861279057976,8.434859760590113,1438.316740805093,0
79,1,0,0,0,0,0,0,0,0,2,0,0,0,444,87,269,679,50.594941915735035,10.218205335801038,43.45185728890947,1
80,0,0,0,0,1,0,1,0,0,1,0,0,0,70295,6739,6515,11550,50.6306753365275,10.691593098993538,6574.791927558227,0
81,0,0,0,0,0,0,0,0,0,1,0,0,0,1437,530,2651,7713,50.56478521814079,4.2701184621390285,336.524621679972,0
82,0,0,0,0,0,0,0,0,0,1,0,0,0,28,3,111,64,50.268769139605034,2.7865836345309773,10.048146286738962,1
83,0,0,1,0,0,0,1,0,0,3,0,0,0,7596,1953,4965,1154,50.62759392349229,6.7704899099043825,1121.927674522932,0
84,0,0,0,0,1,0,1,1,0,1,0,0,0,971,1092,1057,877,50.60850080487744,3.827032993028576,253.72135588295143,0
85,0,0,1,0,1,0,0,0,0,1,0,0,0,129,367,1661,3867,50.51554934469035,2.9395689375958503,43.883985284421904,1
86,0,0,1,0,0,0,1,0,0,4,0,0,0,603,690,374,1604,50.63000164778058,1.9497588657185136,309.26901300576264,0
87,0,0,0,0,0,0,0,0,0,1,2,0,2,15529,320,1786,17725,50.63061893173118,3.006610400689488,5164.952531408401,0
88,0,0,0,0,1,0,0,0,0,1,0,0,0,2,29,685,70,49.79136902045782,0.8537371467031262,2.342641418056357,0
89,0,0,0,0,0,0,1,0,0,3,0,0,0,307,32,545,199,50.37063322305879,2.4724080532359425,124.1704416866753,0
90,0,0,0,0,0,0,1,0,0,0,0,0,0,59,82,102,134,50.61769551550182,4.831976788636487,12.210323555103198,1
91,0,0,0,0,0,0,1,1,0,1,0,0,1,6721,779,297,12602,50.630568674423905,8.697284691510083,772.7699205432189,0
92,0,0,1,0,0,0,0,0,0,1,0,0,0,18,39,123,8,49.8088399624813,1.590662483230619,11.316039819737362,0
93,0,1,0,0,1,0,1,0,0,1,0,0,0,1998,105,3026,3456,50.630588289350264,4.427042499454919,451.3171039686212,0
