,emojis,hashtag,hahalol,Output
824950327061405696,1,1,1,0
472059516,1,1,1,0
1071434691859881985,2,1,1,1
857437618254086146,1,8,1,0
57693137,1,5,1,0
974881035237412865,3,1,1,0
938179955397144576,4,1,1,0
149593399,2,3,1,0
841829986071920640,2,1,1,1
2216727434,1,2,1,0
458242363,7,1,1,0
2948708360,5,3,1,0
885830363720802304,1,1,1,0
809383986,3,1,1,1
1185219269233201152,1,1,1,0
1066496908263337985,2,2,1,0
2941449369,1,1,1,0
1011354334192390144,1,1,1,0
792184063276752896,3,4,1,0
81009375,1,2,1,0
1083232234189012993,1,3,1,0
22928110,4,2,1,0
1247537352924262406,1,1,1,0
1180942010171248641,6,2,1,0
3272383062,1,1,1,1
95780740,2,6,1,0
80590749,1,5,1,0
1248344105136148480,8,1,1,0
1170968350639513600,1,1,1,0
250720349,5,1,1,0
225109694,1,1,1,0
520975825,6,3,1,0
15238874,1,1,1,0
186552980,4,1,1,0
1677884888,1,2,1,0
748650219718463492,2,1,1,1
1197223628678430720,2,1,1,1
1695403975,4,1,1,1
1231727597488398336,2,1,1,0
797435729580294145,1,1,1,0
26533403,1,1,1,0
507159812,2,5,1,0
1133200813843599361,1,1,1,0
467688859,1,2,1,0
942782498932711424,1,2,1,0
176805136,1,4,1,0
21024584,1,1,1,0
342792714,1,3,1,0
2784494687,-1,-1,-1,1
33487421,1,2,1,0
2445794089,8,1,1,1
237377381,1,3,1,0
1108726815185661955,1,1,1,0
980438013930065920,10,1,1,1
943902614143553536,1,1,1,0
3929979253,1,1,1,0
2927422466,1,2,1,0
2432106324,1,1,1,0
875832107741982720,2,1,1,1
69783137,2,1,1,0
3386551845,1,1,1,1
1123753424565284864,5,1,1,1
1091567575455203338,1,1,1,1
381661777,1,1,1,0
803707636306870272,1,1,1,0
1251769287360077825,1,4,1,1
1021476678260928514,5,1,1,1
939301597443710976,1,1,1,1
15718314,1,3,1,0
490856029,9,1,1,1
1184686787454799872,1,3,1,0
886737759284719616,2,4,1,0
270841393,1,3,1,0
3965011272,1,4,1,0
427951650,1,6,1,0
827273317899915264,1,8,1,0
1053175385695928320,5,5,1,0
1017189740020490240,2,1,1,0
479703082,1,1,1,0
30382639,2,3,1,0
900776443977879556,1,3,1,0
107330329,1,1,1,0
3302217892,1,3,1,0
1169401386674507776,1,1,1,0
486140077,3,1,1,0
1056773473727442944,1,1,1,1
2247280439,1,1,1,1
1039328916933156865,1,6,1,0
3201640359,1,1,1,0
1096115889836081154,1,2,1,0
985342745849057282,4,1,1,1
1208424799464304640,3,5,1,0
848807232,1,2,1,0
251341054,1,4,1,0
272495290,2,5,1,0
509631569,6,2,1,1
625228254,1,3,1,0
102245608,6,1,1,0
217554056,2,1,1,0
1150046132,2,1,1,0
1201950822021640193,1,1,1,0
1088100787,5,2,1,0
1242837447752507396,1,1,1,1
937711160790519808,1,2,1,0
61263504,1,2,1,0
2357916496,1,4,1,0
1090679118688075782,1,1,1,0
3309539822,9,1,1,1
715411047,7,1,1,1
1660773732,1,1,1,0
1187415745912803328,4,1,1,0
2377554517,2,2,1,0
795141538149863424,10,1,1,1
1264995419815383040,1,1,1,1
3116252788,4,2,1,0
626658425,1,1,1,0
370344501,1,1,1,0
963053192505450497,4,3,1,0
979621740627333120,1,2,1,0
2864243901,1,3,1,0
1225533701448138758,4,1,1,0
1154759941888053248,3,1,1,0
3010443115,2,1,1,0
1122838371712348160,8,1,1,1
1091063940845576199,1,1,1,0
1040024800088023042,4,1,1,1
850715165695897600,1,1,1,0
50693266,2,5,1,0
2765152199,1,4,1,1
15194564,1,6,1,0
1022324460299464704,1,1,1,0
1232158018541772800,1,4,1,0
766712378289426432,3,1,2,1
4188236314,2,1,1,1
1029361925996638208,1,6,1,0
2336774173,1,3,1,0
437201704,1,1,1,0
382321438,1,5,1,0
1255503020147818496,1,4,1,0
1081724326448168960,2,1,1,0
989347963523747840,4,1,1,0
1133185930326683649,1,1,1,0
815211349835976705,1,1,1,0
36001223,1,1,1,0
213825065,1,1,1,0
3172823827,1,7,1,0
1184843979407409153,1,1,1,1
860590474394038272,1,1,1,1
37206796,1,4,1,0
1176722936952229888,1,1,1,0
1192169586755551233,1,5,1,0
3091912324,1,7,1,1
1692262920,6,1,1,1
229488612,1,4,1,0
274285264,1,3,1,0
1125088894012272646,1,1,1,0
815764826,1,1,1,0
1030082224400609281,1,6,1,0
1241935753539538945,1,1,1,1
1246135674438385672,3,2,1,0
992213162,1,3,1,0
928833858,2,3,1,0
575589179,1,1,1,0
22212500,2,9,1,0
1032448558123892736,6,1,1,1
1123250007778349056,4,1,1,0
1045756170806472705,1,1,1,0
3020152691,1,8,1,0
708695494931841024,1,2,1,0
23669202,5,3,1,0
4197645741,1,1,1,0
4187613197,1,1,2,1
87267550,1,1,1,0
1245472603730558981,1,1,1,0
32294961,2,1,1,0
47520919,1,3,1,0
1037755641195114496,1,3,1,0
710125760,1,6,1,0
1200967267107975168,1,6,1,0
1114527347808464897,1,10,1,0
3422594897,1,6,1,0
277608786,1,1,1,0
26144695,1,8,1,0
366088544,1,1,1,0
1270227291382018048,1,1,1,0
1075067682444206083,1,1,1,0
877161518433005568,1,10,1,0
282304423,1,4,1,0
717424693,3,1,1,1
2278328965,7,1,1,1
1005046411,1,2,1,1
831723004648357889,4,2,1,0
1055149426958917632,3,1,1,1
2406645470,1,2,1,0
2278198998,2,1,1,0
19496411,1,2,1,0
957564688904138753,1,4,1,0
15852644,1,2,1,0
607190392,1,8,1,0
14499630,5,1,1,0
486083222,2,1,1,0
1082497308246323200,1,2,1,0
1006138452,2,4,1,0
115754870,1,9,1,0
705209137634758656,7,3,1,1
172442947,4,6,1,0
1124375143,1,4,1,0
3434276513,1,2,2,1
70757632,1,1,1,0
753942426163773440,1,7,1,0
22638259,1,2,1,0
494036810,1,4,1,0
499396922,4,6,1,0
